Questions,Answers
Can I book a room for one night only?,"Yes, you can book for just one night."
Is it possible to stay just for a night?,We accept bookings for even a single night.
Do you allow single-night bookings?,There’s no minimum stay requirement—you can stay one night.
Can I reserve a room for just one night?,"Absolutely, our rooms are available for short stays."
What’s the minimum stay requirement?,One-night stays are allowed at our hotel.
Do I have to book for more than one night?,"No, there’s no minimum stay—you can book for one night or more."
Can I book a Family room for two people?,"Yes, but the room is best for families as it has two double beds."
Is the Family room suitable for just two guests?,"The Family room is spacious, so it’s great even for two guests."
Can a couple stay in the Family room?,Couples can book the Family room if they prefer extra space.
Is the Family room only for families?,"It’s ideal for families, but anyone can book it."
Can I book a bigger room even if we are fewer guests?,"Yes, you can book any room regardless of the number of guests."
Do I need to have four people to book the Family room?,"No, the Family room can be booked even if you’re fewer than four."
What room categories do you have?,"We have Duplex, Family, and Super Comfort rooms."
Can you list the different types of rooms available?,"Our rooms include budget, family-friendly, and premium options."
Do you have rooms for solo travelers?,"Yes, the Duplex room is great for solo travelers."
What’s the difference between your room types?,"The main differences are size, amenities, and price."
Which room is best for families?,The Family room is ideal for families.
Do you offer luxury suites?,"No, we don’t have suites, but our Super Comfort room offers premium features."
What are the amenities in the Duplex room?,"It comes with two single beds, AC, TV, and WiFi."
How many people can stay in a Duplex room?,The Duplex room is suitable for two guests.
Is the Duplex room a good choice for budget travelers?,"Yes, it’s our most budget-friendly option."
What makes the Duplex room special?,"It’s a compact, affordable room with essential amenities."
Does the Duplex room have a private bathroom?,"Yes, all our rooms have private bathrooms."
Is breakfast included with the Duplex room?,Breakfast is not included but can be added for an extra charge.
How many beds are in the Family room?,It has two double beds.
Does the Family room have a balcony?,"Yes, the Family room comes with a balcony."
Is the Family room spacious?,"Yes, it’s the most spacious room we offer."
Can I book a Family room for just two people?,"Yes, but it’s designed for four people."
Is the Family room child-friendly?,"Yes, it’s perfect for families with children."
Does the Family room have a bathtub?,"No, but it has a well-equipped bathroom."
What makes the Super Comfort room different?,It’s a premium room with extra comfort and space.
Is the Super Comfort room a good option for couples?,"Yes, it’s perfect for couples looking for a cozy stay."
Does this room include a work desk?,"Yes, it includes a small workspace."
Can I get an extra bed in this room?,Extra beds can be arranged for an additional fee.
Is the Super Comfort room worth the price?,"Yes, it offers great value for the price."
Do you have budget-friendly rooms?,"Yes, our Duplex room is an affordable option."
Which room is ideal for business travelers?,The Super Comfort room is ideal for business travelers.
What room should I book for a honeymoon?,The Super Comfort room is a great choice for couples.
Do you have interconnected rooms for families?,"Yes, we offer interconnected rooms upon request."
Which room has the best view?,The Family room with a balcony offers the best view.
Are all your rooms non-smoking?,"Yes, all our rooms are non-smoking."
What’s included in the Super Comfort room?,"It includes a double bed, AC, TV, WiFi, and more."
Is there a private balcony in the Super Comfort room?,"No, the balcony is only available in the Family room."
How comfortable is the Super Comfort room?,It’s our most comfortable option for a relaxing stay.
Does this room come with complimentary breakfast?,Breakfast is available for an additional charge.
Can I request late check-out for the Super Comfort room?,"Yes, late check-out is possible based on availability."
Is this room wheelchair accessible?,Please contact us to confirm accessibility options.
What’s the easiest way to get to your hotel?,"You can take a taxi, bus, or private car."
Do you provide pick-up services from the airport?,"Yes, we offer airport pick-up services upon request."
Is your hotel close to major attractions?,"Yes, popular attractions are nearby."
Are there public transport options near your hotel?,"Yes, buses and taxis are available close to our hotel."
Do you have parking for guests?,"Yes, we offer free parking for guests."
Do you have rooms that can accommodate five people?,"Our Family room fits four, but extra beds can be arranged."
Is there a way to book two rooms side by side?,"Yes, we can arrange adjacent rooms if available."
Can we get extra bedding for children?,"Yes, we provide extra bedding for children."
What’s the most comfortable room for a large family?,The Family room is the best choice for larger groups.
Do you offer group discounts?,"Yes, we offer discounts for group bookings."
Can I add another guest to my booking after check-in?,"Yes, but additional charges may apply."
Is booking a room in advance necessary?,"Booking in advance is recommended, especially during peak seasons."
Can I reserve a room via phone or email?,"Yes, you can book via phone or email."
Do I need to provide any documents while booking?,You might need an ID or passport during check-in.
Can I cancel or modify my booking later?,"Yes, cancellation and modification policies apply."
Is it possible to reserve a room without paying upfront?,"Some bookings require advance payment, while others don’t."
What types of rooms do you offer?,"We offer 3 different rooms which are Super comfort, Duplex and family."
Which is the most budget-friendly room?,The most budget friendly room is our Duplex room?
What are the prices of rooms?,"We offer 3 different rooms which are Super comfort, Duplex and family.Which room prices would you want to know?"
what is the price of of duplex room?,The price of duplex room is Rs.1500 per night?
what is the price of of Super comfort room?,The price of Super comfort room is Rs.2200 per night?
what is the price of of Family room?,The price of Family room is Rs.3500 per night?
Can I request early check-in?,Early check-in depends on availability and may cost extra.
Is there a fee for late check-out?,Late check-out may have a small fee.
Do rooms have toiletries?,"Yes, toiletries are provided in rooms."
Are pets allowed?,Pets are not allowed except service animals.
Do you have airport shuttle?,"Yes, airport shuttle is available at a cost."
What safety measures are there?,We follow strict hygiene and 24/7 security.
Is parking available?,"Yes, free parking is available."
Smoking room available?,"Yes, both smoking and non-smoking rooms are available."
Can I cancel for free?,Free cancellation up to 24 hours before check-in.
Laundry service available?,"Yes, laundry service is available on request."
What are your check-in and check-out times?,"Check-in starts at 3:00 PM, and check-out is by 11:00 AM."
Can I book a room online?,"Yes, you can book directly through our website or booking platforms."
Is an ID required at check-in?,"Yes, a valid government-issued photo ID is required."
Can I request early check-in or late check-out?,Early check-in or late check-out is possible depending on availability and may include extra charges.
Can I modify or cancel my booking?,"Yes, bookings can be modified or canceled based on the booking type. Free cancellation is available within 24 hours for some bookings."
What types of rooms do you offer?,"We offer Duplex, Family, and Super Comfort rooms."
What facilities are included in the rooms?,"Rooms include Wi-Fi, AC, TV, minibar, tea/coffee maker, safe, hairdryer, and private bathrooms."
Do any rooms have balconies?,"Yes, the Family room includes a balcony."
Are extra beds or baby cribs available?,"Yes, extra beds and cribs are available for a fee."
Are there non-smoking rooms?,"Yes, both smoking and non-smoking rooms are available."
Can I request a room with a view?,"Yes, city and mountain views are available upon request and subject to availability."
Is breakfast included in all bookings?,Some bookings include breakfast; please check your booking details.
Do you offer room service?,"Yes, room service is available 24/7."
Are vegetarian or gluten-free meals available?,"Yes, we offer vegetarian and gluten-free meal options."
Do you have a restaurant and bar?,"Yes, we have a restaurant with diverse menus and a bar."
"Do you have a swimming pool, gym, or spa?","Yes, we have an outdoor pool, 24/7 gym, and spa services."
Are wellness activities like yoga available?,"Yes, wellness activities such as yoga are available on request."
Is there a play area for children?,"Yes, there is a play area for children aged 4-12."
Are meeting rooms and a business center available?,"Yes, we offer meeting rooms and a business center with full facilities."
Where is your hotel located?,"We are located in Dhobidhara, Kathmandu."
Do you provide parking?,"Yes, free parking is available on-site."
Is there an airport shuttle or car rental service?,"Yes, we offer airport shuttle services and car rentals upon request."
Is public transportation nearby?,"Yes, public transport is within walking distance."
What payment methods do you accept?,"We accept major credit cards, debit cards, digital wallets, USD, and cash."
Do you accept digital payments like Apple Pay?,"Yes, we accept Apple Pay, Google Pay, and similar services."
Can I split payment methods?,"Yes, you can split payments between cash and cards."
Do you require a deposit or pre-authorization?,"Yes, deposits or pre-authorizations may be required depending on your booking."
Do you offer discounts for groups or corporations?,"Yes, we offer corporate and group booking discounts."
Can I receive an itemized bill or VAT receipt?,"Yes, we can provide detailed billing and VAT receipts upon request."
Do you offer laundry and dry cleaning services?,"Yes, we provide same-day laundry and dry cleaning services."
Do you offer luggage storage?,"Yes, luggage storage is available both before check-in and after check-out."
Is babysitting available?,"Yes, babysitting is available with advance notice."
Can I exchange currency at the hotel?,"Yes, we provide currency exchange at the front desk."
Do you provide guided tours or maps?,"Yes, we offer guided tours and local area maps."
Do you offer free Wi-Fi?,"Yes, free Wi-Fi is available.  "
Is breakfast included with all rooms?,Some packages include breakfast.
Can I check-in early at the hotel?,"Yes, upon availability.  "
Does the hotel have an outdoor pool?,"Yes, there is an outdoor pool.  "
Are pets allowed in the rooms?,"No, pets are not allowed.  "
Is there any parking space available?,"Yes, free parking is available.  "
Do rooms have a balcony option?,"Yes, some rooms have balconies.  "
Are extra pillows available upon request?,"Yes, extra pillows are available.  "
What is your policy on outside food?,Outside food is not allowed.
Is there a minibar in the rooms?,"Yes, selected rooms have minibars.  "
Do you offer express check-out?,"Yes, express check-out is available.  "
Is there a business center service?,"Yes, business center is available.  "
Can I store luggage after check-out?,"Yes, luggage storage is available.  "
Do you accept digital wallets for payment?,"Yes, digital wallets are accepted.  "
Are meeting rooms available for booking?,"Yes, meeting rooms are available.  "
Does the hotel provide airport shuttle service?,"Yes, shuttle service is available.  "
Are there non-smoking rooms available?,"Yes, non-smoking rooms are available.  "
Can I get a city view room?,"Yes, upon request and availability.  "
Does the hotel offer tour assistance?,"Yes, tours can be arranged.  "
Is car parking free for hotel guests?,"Yes, parking is free.  "
Are spa services available on-site?,"Yes, spa services are available.  "
Can I request a wake-up call?,"Yes, wake-up call is available.  "
Do you have any wheelchair accessible rooms?,"Yes, accessible rooms are available.  "
Is there a rooftop garden at the hotel?,"Yes, rooftop garden is available.  "
Can I book adjoining rooms for my family?,"Yes, adjoining rooms are available."
What types of rooms do you offer?,"We offer Duplex, Family, and Super Comfort rooms.  "
Do all rooms have Wi-Fi?,"Yes, all rooms include Wi-Fi.  "
Is there a Family room with a balcony?,"Yes, the Family room includes a balcony.  "
Are all rooms air-conditioned?,"Yes, all rooms have AC.  "
Can I book a Family room for two people?,"Yes, but the Family room is designed for families.  "
Do you have a room available for tomorrow?,Let me check availability; please specify room type and guests.
Can I book a room for two nights?,"Yes, you can book for two nights.  "
Which room is best for four people?,The Family room is best for four people.
Do you have a honeymoon suite?,"We don’t have a honeymoon suite, but Super Comfort is good for couples.  "
Can I get a bill for my stay?,"Yes, we provide a detailed bill.  "
How do I request room cleaning?,You can request cleaning through reception or chatbot.
Can you recommend nearby tourist places?,"Yes, we can recommend nearby tourist places.  "
Is there a shopping mall near the hotel?,"Yes, City Center Mall is 5 minutes’ walk.  "
Can I book the same room again for my next visit?,"Yes, we can prioritize your next booking for the same room if available.  "
Which room is the cheapest?,The Duplex room is the cheapest.
Which room is the most expensive?,The Family room is the most expensive.
Are towels provided in the rooms?,"Yes, towels are provided and replaced daily.  "
Do the rooms have refrigerators?,"Yes, all rooms come with mini-refrigerators.  "
Do you provide a hairdryer?,"Yes, hairdryers are provided.  "
Are the rooms private or shared bathrooms?,All rooms have private bathrooms.
Do you allow unmarried couples?,"Yes, unmarried couples are allowed with valid ID.  "
How many people can stay in a Duplex room?,The Duplex room accommodates 2 guests.
Do rooms have a work desk?,"Yes, the Super Comfort room includes a work desk.  "
Are there tea/coffee facilities in the rooms?,"Yes, tea/coffee making facilities are provided.  "
Are USB charging ports available?,"Yes, USB charging ports are available at bedside tables."
What is the cost of the Duplex room?,The Duplex room costs Rs 1500 per night.
How much is the Family room per night?,The Family room costs Rs 3500 per night.
What facilities are available in the Family room?,"The Family room includes 2 double beds, sofa, TV, Wi-Fi, balcony, and AC.  "
What bed type is in the Super Comfort room?,The Super Comfort room has 1 double bed.
Which room has two single beds?,The Duplex room has 2 single beds.
Which room has two double beds?,The Family room has 2 double beds.
Does the Family room have a sofa?,"Yes, the Family room has a sofa.  "
Is there a bathtub in the Super Comfort room?,"Yes, the Super Comfort room has a bathtub.  "
Are rooms available for one-night stays?,"Yes, rooms can be booked for one-night stays.  "
Do you offer discounts for long stays?,Please contact reception for discounts on long stays.
What time is the swimming pool open?,The swimming pool is open from 7 AM to 9 PM.
Is there a gym in the hotel?,"Yes, there is a 24/7 gym.  "
Do you offer 24-hour room service?,"Yes, we offer 24-hour room service.  "
What time is breakfast served?,Breakfast is served from 7:00 AM to 10:00 AM.
Is there a restaurant in the hotel?,"Yes, we have a multi-cuisine restaurant.  "
Are vegetarian meals available?,"Yes, vegetarian and vegan options are available.  "
What payment methods do you accept?,"We accept credit/debit cards, mobile payments, and cash.  "
Do you allow split payments?,"Yes, we allow split payments.  "
What is the minimum age for check-in?,Guests must be at least 18 years old to check-in.
What happens if I damage hotel property?,Guests may be charged for any damages.
Can I rebook the same room for my next visit?,"Yes, we can prioritize booking for the same room if available.  "
Is there free parking at the hotel?,"Yes, free on-site parking is available.  "
Do you offer airport shuttle service?,"Yes, airport shuttle service is available.  "
Are there rooms with city views?,"Yes, city view rooms are available upon request.  "
Do you have rooms away from the elevator for less noise?,"Yes, rooms away from the elevator can be arranged upon availability."
What’s the price for Duplex per night?,Rs 1500 per night for Duplex.
How much is the Family room daily?,Rs 3500 per night for Family room.
Does the Family room have a balcony?,"Yes, Family rooms have balconies.  "
Are there sofas in Family rooms?,"Yes, there’s a sofa in Family rooms.  "
Do Duplex rooms come with AC?,"Yes, Duplex rooms have AC.  "
Is Wi-Fi included in every room?,"Yes, Wi-Fi is in all rooms.  "
Which room is best for 4 guests?,Family room is best for 4 guests.
Can I stay just for one night?,"Yes, one-night stays allowed.  "
Do you offer deals for longer stays?,Contact reception for long stay offers.
Are towels given daily?,"Yes, towels are changed daily.  "
Are there refrigerators in the rooms?,"Yes, fridges are in all rooms.  "
Do all rooms include hairdryers?,"Yes, hairdryers are provided.  "
Are bathrooms attached or shared?,All rooms have private bathrooms.
Do rooms come with safes?,"Yes, safes are in all rooms.  "
Is there tea/coffee in all rooms?,"Yes, tea/coffee facilities included.  "
Are USB ports provided?,"Yes, USB ports by the bed.  "
Is there a gym open all day?,"Yes, gym is open 24/7.  "
Do you provide airport pickup?,"Yes, airport pickup available.  "
Can I book a higher-floor room?,"Yes, higher floors can be requested.  "
Can I get the same room next time?,"Yes, same room can be booked again.  "
Is there a kids' play area?,"Yes, there’s a kids’ club.  "
Do you allow unmarried couples?,"Yes, unmarried couples allowed.  "
Are pets allowed inside?,"No, pets are not allowed.  "
Do you offer wake-up service?,"Yes, wake-up service is provided.  "
Can I cancel my booking for free?,"Yes, free cancellation within 24 hours."
Which room is cheapest?,Duplex is the cheapest.
Which room costs the most?,Family room costs the most.
Does Family room have 2 beds?,"Yes, Family room has 2 double beds.  "
Does Super Comfort have a bathtub?,"Yes, Super Comfort has a bathtub.  "
Are blackout curtains in all rooms?,"Yes, blackout curtains in all rooms.  "
Is breakfast included in all rooms?,Breakfast is included in some packages.
Can I book for just tomorrow?,"Yes, you can book for tomorrow.  "
Do rooms have TV and AC?,"Yes, all rooms have TV and AC.  "
Can I request extra pillows?,"Yes, extra pillows are available on request.  "
Are there city view rooms?,"Yes, city view rooms are available.  "
Is there a restaurant inside hotel?,"Yes, there’s a restaurant inside.  "
Do you offer vegetarian dishes?,"Yes, vegetarian options available.  "
Can I split my payment?,"Yes, split payment is accepted.  "
Do you accept foreign cards?,"Yes, international cards accepted.  "
Is there parking for guests?,"Yes, free parking for guests.  "
Is there an ATM nearby?,"Yes, ATM is near the entrance.  "
Are there nearby tourist spots?,"Yes, tourist spots nearby.  "
Can I check-in early?,Early check-in depends on availability.
Do you have conference rooms?,"Yes, conference rooms available.  "
Is there security 24/7?,"Yes, 24/7 security provided.  "
Do you provide detailed receipts?,"Yes, detailed receipts available.  "
Can I get a company invoice?,"Yes, company invoices are provided.  "
Do you have rooftop access?,"Yes, rooftop terrace available.  "
Is there a spa available?,"Yes, spa services available.  "
Do you provide maps of the area?,"Yes, free maps provided at reception."
Do rooms have mini-fridge?,"Yes, all rooms have mini-fridge.  "
Is room service available late?,"Yes, room service available until midnight.  "
Do you offer car rental?,"Yes, car rentals are offered.  "
Can I book a taxi from reception?,"Yes, reception can book a taxi.  "
Are there quiet rooms available?,"Yes, quiet rooms can be arranged.  "
Can I get a room with mountain view?,"Yes, mountain view rooms available.  "
Are there connecting rooms?,"Yes, connecting rooms available on request.  "
Do you have business center?,"Yes, business center available.  "
Can I extend my stay last minute?,"Yes, you can extend stay if available.  "
Do you charge for extra guests?,"Yes, extra guest charges may apply.  "
Is there laundry service?,"Yes, laundry service is offered.  "
Can I request ironing facilities?,"Yes, ironing available on request.  "
Are water bottles complimentary?,"Yes, complimentary water bottles provided.  "
Can I pay in USD?,"Yes, USD accepted at reception.  "
Do you accept Apple Pay?,"Yes, Apple Pay is accepted.  "
Do you offer express check-out?,"Yes, express check-out is available.  "
Is there a deposit required?,"Yes, refundable deposit required.  "
When is pool open?,Pool is open from 7 AM to 9 PM.
Can I book day-use rooms?,"Yes, day-use rooms available.  "
Do you offer yoga or wellness?,"Yes, yoga and wellness programs offered.  "
Is there a children’s play area?,"Yes, children’s play area available.  "
Are conference halls equipped with Wi-Fi?,"Yes, Wi-Fi in conference halls.  "
Do rooms come with phone?,"Yes, phones provided in rooms.  "
Can I store luggage before check-in?,"Yes, luggage storage before check-in available.  "
Can I check availability without booking?,"Yes, availability can be checked without booking."
Do you have safes in rooms?,"Yes, safes are in all rooms.  "
Are bathrooms private?,"Yes, bathrooms are private.  "
Is there a minibar in rooms?,"Yes, minibars in Family and Super Comfort rooms.  "
Are rooms non-smoking?,"No, rooms are non-smoking.  "
Do you offer gluten-free meals?,"Yes, gluten-free meals available on request.  "
Can I pay with debit card?,"Yes, debit cards are accepted.  "
Do you have loyalty rewards?,"Yes, loyalty program available.  "
Do you provide receipts by email?,"Yes, receipts can be sent by email.  "
Is there a bar in the hotel?,"Yes, there’s a bar in the hotel.  "
Can I bring outside food?,"No, outside food not allowed.  "
Is there a shopping mall close by?,"Yes, City Center Mall is nearby.  "
Is breakfast served in the morning?,"Yes, breakfast served from 7:00 AM.  "
Is there a doctor available?,"Yes, doctor on call available.  "
Are there smoking and non-smoking rooms?,"Yes, smoking and non-smoking rooms available.  "
Are there facilities for disabled guests?,"Yes, facilities for disabled guests provided.  "
Do you allow early check-in?,"Yes, early check-in possible upon availability.  "
Do you provide umbrellas for rain?,"Yes, umbrellas provided during rain.  "
Can I make international calls?,"Yes, international calls possible from room.  "
Is there CCTV security?,"Yes, CCTV throughout the hotel.  "
Do you provide bicycles for rent?,"Yes, bicycles available for rent.  "
Can I book a taxi in advance?,"Yes, advance taxi booking available.  "
Do you have guided tours?,"Yes, guided tours offered.  "
Is there a nightclub nearby?,"Yes, nightclub nearby within walking distance.  "
Do you observe quiet hours?,"Yes, quiet hours from 10 PM to 7 AM.  "
Are receipts detailed with taxes?,"Yes, receipts include tax breakdown."
Do you provide baby-sitting?,"Yes, babysitting is available with prior notice.  "
Are there any outdoor activities?,"Yes, outdoor activities are offered.  "
Is public transport close by?,"Yes, public transport is nearby.  "
Do rooms have blackout curtains?,"Yes, blackout curtains are in all rooms.  "
Is there a desk in Super Comfort room?,"Yes, Super Comfort has a work desk.  "
Do Family rooms have living space?,"Yes, Family room includes living space.  "
Are tea kettles provided?,"Yes, tea kettles provided in all rooms.  "
Can I upgrade my room after arrival?,"Yes, room upgrades possible if available.  "
Are there air purifiers available?,"Yes, air purifiers available on request.  "
Is there a dress code for restaurant?,"No, casual dress code for restaurant.  "
Can I check-in without email?,"No, email is required for booking.  "
Do you price match cheaper rates?,"Yes, price match guarantee offered.  "
Can I book rooms a year early?,"Yes, bookings allowed up to 12 months early.  "
Are corporate rates available?,"Yes, corporate rates available.  "
Can I book without a credit card?,Some prepaid rates don’t require credit card.
Do you allow installment payments?,"No, installments not offered for regular bookings.  "
Can I split bills for shared rooms?,"Yes, split billing for shared rooms available.  "
Are there taxes on the final bill?,"Yes, taxes included in final bill.  "
Are conference rooms big?,"Yes, conference rooms available up to 100 people.  "
Is there a kids’ club?,"Yes, kids' club available.  "
Do you offer massage service?,"Yes, massage service offered in spa.  "
Can I extend checkout late?,"Yes, late checkout available on request.  "
Do you have gift shop?,"Yes, there’s a gift shop in the hotel.  "
Are there spa treatments?,"Yes, spa treatments available.  "
Is there parking free for guests?,"Yes, parking is free for guests."
Can I request a wake-up call?,"Yes, wake-up calls can be requested.  "
Do you provide hypoallergenic pillows?,"Yes, hypoallergenic pillows available.  "
Is there a microwave available?,"Yes, microwaves provided on request.  "
Do rooms have coffee makers?,"Yes, coffee makers in rooms.  "
Can I get extra blankets?,"Yes, extra blankets available on request.  "
Are invoices available for companies?,"Yes, company invoices provided.  "
Can I get VAT receipts?,"Yes, VAT receipts are available.  "
Do you charge extra for credit cards?,"No, no extra charges for credit cards.  "
Can I limit extra charges to my room?,"Yes, room spending limits can be set.  "
Do you refund deposits quickly?,Refunds take 3-5 business days.
Do you accept American Express?,"Yes, American Express accepted.  "
Can I use digital payments like Google Pay?,"Yes, Google Pay and similar accepted.  "
Is there a business center printer?,"Yes, business center has printer.  "
Are meetings rooms available for rent?,"Yes, meeting rooms available to rent.  "
Can I use hotel phone for calls?,"Yes, hotel phones can make calls.  "
Are there security deposits required?,"Yes, deposits are required at check-in.  "
Are there noise-free room options?,"Yes, quiet rooms available on request.  "
Is there a waiting list for rooms?,"Yes, waiting list available for full dates.  "
Can I request a city-view room?,"Yes, city-view rooms can be requested.  "
Do you have smoking rooms?,"Yes, smoking rooms available.  "
Are spa appointments needed in advance?,"Yes, spa bookings recommended in advance.  "
Are meeting rooms good for big groups?,"Yes, meeting rooms fit large groups.  "
Do rooms come with phone chargers?,"Yes, rooms have USB charging ports.  "
Are there any honeymoon rooms?,"No, no honeymoon-specific rooms but Super Comfort is good for couples.  "
Are all rooms air-conditioned?,"Yes, all rooms have AC."
What’s the earliest check-in time?,Check-in starts from 3:00 PM.
When does the gym open?,Gym is open 24/7.
Do you offer 24-hour room service?,"Yes, room service available 24 hours.  "
Do you have vegetarian and vegan meals?,"Yes, vegetarian and vegan options offered.  "
How far is the nearest bus stop?,Nearest bus stop is 5 minutes' walk.
Do you provide maps for tourists?,"Yes, free maps available at reception.  "
Can I pay my bill in advance?,"Yes, full payment in advance is accepted.  "
What if I don’t show up after booking?,No-shows are charged one night's fee.
Can I make changes to non-refundable bookings?,Non-refundable bookings can change dates if available.
Are there packages for couples or families?,"Yes, packages available for couples and families.  "
Can I book for someone else?,"Yes, you can book on behalf of others.  "
Do you offer airline crew discounts?,"Yes, airline crew discounts offered with ID.  "
Can I use multiple discount codes?,"No, only one discount code allowed per booking.  "
Can I cancel within 24 hours for free?,"Yes, free cancellation within 24 hours of booking.  "
How do I make special requests?,Special requests can be made during booking or at reception.
Do you offer discounts on multiple rooms?,"Yes, discounts offered for multiple rooms.  "
How do I know my booking is confirmed?,Booking is confirmed by email confirmation.
Is a deposit needed during busy season?,"Yes, deposits may be needed during busy seasons.  "
Do you have a rooftop for guests?,"Yes, rooftop terrace available for guests.  "
Can I use hotel facilities without staying?,"No, hotel facilities are for staying guests only.  "
Can I get a detailed bill breakdown?,"Yes, detailed bill with breakdown available.  "
Are there quiet hours in the hotel?,"Yes, quiet hours from 10 PM to 7 AM.  "
Is there CCTV for guest security?,"Yes, CCTV security throughout the hotel.  "
Can I change my payment method at checkout?,"Yes, you can change payment method at checkout.  "
Can I pay in foreign currency?,"Yes, payment accepted in USD, converted at hotel rate."
What is your cancellation policy?,Cancellation policy depends on booking type.
Can I modify booking dates after confirmation?,"Yes, bookings can be modified if available.  "
Do you offer spa services?,"Yes, spa services are available.  "
Are spa appointments required in advance?,"Yes, advance booking is recommended for spa.  "
Is there a concierge service?,"Yes, concierge available from 7 AM to 11 PM.  "
Do you offer airport pick-up?,"Yes, airport pick-up provided upon request.  "
Is public transport within walking distance?,"Yes, public transport is within walking distance.  "
Do you offer discounts for long stays?,"Yes, discounts available for long stays.  "
Do you have facilities for business meetings?,"Yes, business meeting facilities are available.  "
Can I check availability without booking?,"Yes, availability can be checked without booking.  "
Do you allow pets?,"No, pets are not allowed.  "
Do rooms have air purifiers on request?,"Yes, air purifiers are available on request.  "
Are toiletries eco-friendly?,"Yes, toiletries provided are eco-friendly.  "
Do bathrooms have bathtubs?,"Yes, bathtubs are in Family and Super Comfort rooms.  "
Can I get a specific room number?,Specific room numbers can’t be guaranteed.
How far ahead can I book a room?,Bookings can be made up to 12 months early.
Do you provide invoices for companies?,"Yes, company invoices are provided.  "
Do you offer discounts to corporate clients?,"Yes, discounts for corporate clients available.  "
Can I book without giving credit card info?,Some bookings don’t require credit card; others do.
Can I get a company invoice instead of personal?,"Yes, company invoices provided if requested.  "
Do you pre-authorize credit cards?,"Yes, cards are pre-authorized for incidentals.  "
Can I limit spending on my room account?,"Yes, room spending limits can be set.  "
Are there restrictions on foreign currency payment?,Final bills are in local currency; conversion possible for reference.
Can I get receipts by email after checkout?,"Yes, receipts can be emailed after checkout.  "
Do you offer complimentary upgrades?,"Yes, free upgrades offered to loyalty members when available."
Is there free Wi-Fi?,"Yes, free Wi-Fi available.  "
Do you offer free parking?,"Yes, free parking provided.  "
Are towels replaced daily?,"Yes, towels changed daily.  "
Is breakfast complimentary?,Some packages include breakfast.
Is there a gym?,"Yes, gym open 24/7.  "
Do you offer 24/7 front desk?,"Yes, front desk is 24/7.  "
Are there business services?,"Yes, business services offered.  "
Do you offer car rentals?,"Yes, car rentals available.  "
Is there a bar on-site?,"Yes, on-site bar available.  "
Are pets allowed?,"No, pets are not allowed.  "
Can I bring outside food?,"No, outside food not allowed.  "
Do rooms have safes?,"Yes, safes in all rooms.  "
Is there a doctor on call?,"Yes, doctor on call available.  "
Are meeting rooms available?,"Yes, meeting rooms provided.  "
Are children allowed free?,"Yes, kids under 12 stay free.  "
Do you provide wake-up calls?,"Yes, wake-up calls offered.  "
Do you offer guided tours?,"Yes, guided tours available.  "
Do you offer luggage storage?,"Yes, luggage storage provided.  "
Are conference rooms available?,"Yes, conference rooms available.  "
Is there a kids' play area?,"Yes, kids' play area available.  "
Do you provide umbrellas?,"Yes, umbrellas provided on request.  "
Do you have laundry service?,"Yes, laundry service available.  "
Do rooms have blackout curtains?,"Yes, blackout curtains in all rooms.  "
Do rooms have fridges?,"Yes, fridges in all rooms.  "
Can I request extra pillows?,"Yes, extra pillows available on request."
What time is breakfast?,Breakfast is from 7:00 AM to 10:00 AM.
Is there a rooftop terrace?,"Yes, rooftop terrace available.  "
Do rooms have phones?,"Yes, phones in all rooms.  "
Are minibars available?,"Yes, minibars in some rooms.  "
Do rooms have air conditioning?,"Yes, all rooms have AC.  "
Is there a kids' club?,"Yes, kids' club available.  "
Are international cards accepted?,"Yes, international cards accepted.  "
Is there a security deposit?,"Yes, security deposit required.  "
Can I split my bill?,"Yes, bills can be split.  "
Do you offer express checkout?,"Yes, express checkout available.  "
Is there a restaurant?,"Yes, restaurant on-site.  "
Do rooms have hairdryers?,"Yes, hairdryers provided.  "
Do you provide tea kettles?,"Yes, tea kettles in rooms.  "
Are there USB charging ports?,"Yes, USB ports available.  "
Is there a shopping mall nearby?,"Yes, mall within walking distance.  "
Can I request a higher-floor room?,"Yes, higher-floor rooms on request.  "
Do rooms have private bathrooms?,"Yes, private bathrooms in all rooms.  "
Are there smoking and non-smoking rooms?,"Yes, smoking and non-smoking rooms.  "
Is there a night club nearby?,"Yes, nightclub nearby.  "
Do you provide ironing boards?,"Yes, ironing boards on request.  "
Are there yoga sessions?,"Yes, yoga sessions available.  "
Do you offer wellness programs?,"Yes, wellness programs offered.  "
Are there security cameras?,"Yes, security cameras throughout.  "
Can I extend my stay last minute?,"Yes, stay can be extended if available.  "
Do you provide free water bottles?,"Yes, free water bottles provided daily."
Can I book for just one night?,"Yes, one-night bookings allowed.  "
Do you provide invoices?,"Yes, invoices are provided.  "
Do you allow late check-outs?,"Yes, late check-out available on request.  "
Do you accept debit cards?,"Yes, debit cards accepted.  "
Can I request early check-in?,"Yes, early check-in possible if available.  "
Do you offer babysitting service?,"Yes, babysitting available with notice.  "
Do rooms have coffee makers?,"Yes, coffee makers in rooms.  "
Are there connecting rooms?,"Yes, connecting rooms on request.  "
Is there a business center?,"Yes, business center available.  "
Can I check-in without email?,"No, email is required for booking.  "
Do you offer loyalty points?,"Yes, loyalty points offered.  "
Are there packages for business travelers?,"Yes, business packages available.  "
Do you offer discounts for airline staff?,"Yes, airline staff discounts offered.  "
